assets,assets_check,billsred,capital,cchdufrm,circulation,city,county,diff,diff1,diffA,diffL,fips,id,id_old,liabs_check,loans,name,otherassets,otherliabs,othsec,profits,surpro,totdep,ussec,year,loanAssetRatio
3600012,3600012,0.0,200000,887682,0.0,canajoharie,Montgomery,,,0.0,0.0,36057,1075,,3600012,692452,canajoharie,20581,11000.0,284800,134781.0,200000.0,3054231,1714497.0,1939,0.1923471366206557
5546429,5546429,0.0,341800,1312001,0.0,canandaigua,Ontario,,,0.0,0.0,36069,1077,,5546429,810906,canandaigua nb and tc,71254,10.0,1841564,334497.0,250000.0,4620122,1510704.0,1939,0.14620325979111964
1182706,1182706,0.0,57000,201438,0.0,canastota,Madison,,,0.0,0.0,36053,1078,,1182706,191133,first,9120,3.0,325991,24461.0,93000.0,1008242,455024.0,1939,0.1616065192871263
420206,420206,0.0,58000,74157,0.0,candor,Tioga,,,0.0,0.0,36107,1079,,420206,127844,first,1577,707.0,125703,20096.0,17000.0,324403,90925.0,1939,0.30424125309967015
1625036,1625036,0.0,238550,188806,0.0,canton,St Lawrence,,,0.0,0.0,36089,1080,,1625036,762121,first,102868,0.0,290183,15513.0,28450.0,1342523,281058.0,1939,0.4689871485924004
1521929,1521929,0.0,100000,458034,0.0,canton,St Lawrence,,,0.0,0.0,36089,1081,,1521929,382634,st lawrence county,18156,0.0,568630,41002.0,100000.0,1280927,94475.0,1939,0.2514138307371763
1538015,1538015,0.0,122125,253486,0.0,carmel,Putnam,,,0.0,0.0,36079,1082,,1538015,971196,putnam county,31236,14154.0,229643,64595.0,48000.0,1289141,52454.0,1939,0.6314606814627945
689501,689501,0.0,50000,140731,0.0,castleton on hudson,Rensselaer,,,0.0,0.0,36083,1085,,689501,189433,national exchange,6000,0.0,182103,45899.0,50000.0,543602,171234.0,1939,0.2747392679633532
1226984,1226984,0.0,150000,247510,0.0,catskill,Greene,,,0.0,0.0,36039,1087,,1226984,249300,catskill,41081,3750.0,378268,12728.0,90200.0,970306,310825.0,1939,0.20318113357631395
1951487,1951487,0.0,150000,397558,0.0,catskill,Greene,,,0.0,0.0,36039,1088,,1951487,283296,tanners,38688,6000.0,363468,139990.0,150000.0,1505497,868477.0,1939,0.14516929910370913
1163901,1163901,0.0,375000,260570,0.0,cazenovia,Madison,,,0.0,0.0,36053,1089,,1163901,215819,cazenovia,124257,3463.0,92304,-106069.0,0.0,891507,470951.0,1939,0.18542728290464566
3563712,3563712,0.0,263700,1155205,0.0,cedarhurst,Nassau,,,0.0,0.0,36059,1090,,3563712,1536984,peninsula,71345,24917.0,468276,89100.0,8000.0,3177995,331902.0,1939,0.4312873767577178
1197321,1197321,0.0,84500,301784,0.0,central islip,Suffolk,,,0.0,0.0,36103,1091,,1197321,593614,central islip,39218,20773.0,212307,7661.0,33925.0,1050462,50398.0,1939,0.4957851737336938
1595016,1595016,0.0,150000,192891,0.0,central square,Oswego,,,0.0,0.0,36075,1093,,1595016,893725,first,38440,750.0,368482,93075.0,50000.0,1301191,101478.0,1939,0.5603235328046866
758384,758384,0.0,100000,119063,0.0,central valley,Orange,,,0.0,0.0,36071,1094,,758384,368446,central valley,47173,0.0,199720,2892.0,20000.0,635492,23982.0,1939,0.4858303972657651
789630,789630,0.0,66875,129953,0.0,chappaqua,Westchester,,,0.0,0.0,36119,1096,,789630,174505,chappaqua,66377,2188.0,193753,15637.0,4000.0,700930,225042.0,1939,0.2209959094765903
994017,994017,0.0,95000,142850,0.0,chateaugay,Franklin,,,0.0,0.0,36033,1097,,994017,410718,first,45117,1600.0,206380,22222.0,22000.0,853195,188952.0,1939,0.41319011646682097
887526,887526,0.0,50000,95884,0.0,cherry valley,Otsego,,,0.0,0.0,36077,1620,,887526,160143,otsego county,14510,0.0,585889,38156.0,50000.0,749370,31100.0,1939,0.18043753084416683
748452,748452,0.0,100400,187345,0.0,chester,Orange,,,0.0,0.0,36071,1100,,748452,328919,chester,13909,1257.0,140079,39572.0,100400.0,506823,78200.0,1939,0.43946572392083927
934121,934121,0.0,50000,157666,0.0,clifton springs,Ontario,,,0.0,0.0,36069,1104,,934121,169401,ontario,7263,0.0,424036,46093.0,50000.0,788028,175755.0,1939,0.1813480266475114
1258367,1258367,0.0,109360,183592,0.0,clinton,Oneida,,,0.0,0.0,36065,1105,,1258367,474596,hayes,61482,0.0,195820,29728.0,37640.0,1081639,342877.0,1939,0.3771522934088386
982699,982699,0.0,200000,204737,0.0,clyde,Wayne,,,0.0,0.0,36117,1106,,982699,385972,briggs nb and tc,19955,0.0,315855,15172.0,25000.0,742527,56180.0,1939,0.3927672664773242
4034179,4034179,0.0,318160,445007,0.0,cobleskill,Schoharie,,,0.0,0.0,36095,1107,,4034179,490378,first,24671,12000.0,984712,92083.0,50000.0,3561936,2089411.0,1939,0.12155583577228476
4932846,4932846,0.0,250000,695571,0.0,cohoes,Albany,,,0.0,0.0,36001,1108,,4932846,613475,nb,63114,11000.0,760244,172308.0,500000.0,3999538,2800442.0,1939,0.12436532581799635
499717,499717,0.0,50000,151619,0.0,cold spring,Putnam,,,0.0,0.0,36079,1109,,499717,109208,nb of cold spring on hudson,9400,1500.0,215340,31559.0,23900.0,392758,14150.0,1939,0.21853969346650204
2970993,2970993,0.0,290000,493384,0.0,cooperstown,Otsego,,,0.0,0.0,36077,1111,,2970993,649869,first,69761,27.0,544699,34680.0,160000.0,2486286,1213280.0,1939,0.21873797750449092
3344942,3344942,0.0,225000,434109,0.0,cooperstown,Otsego,,,0.0,0.0,36077,1112,,3344942,368145,second,115521,7.0,519513,37244.0,200000.0,2882691,1907654.0,1939,0.11006020433239201
